,Faculte,Dimensions,MODEL,RMSE Train,CVSCORE Mean,CVSCORE Std,RMSE Test,STACK_RES
0, , ,ElasticNet,0.06 : 11.14%,0.080  : 14.46%,0.0051,0.08 : 14.198%, 
1, , ,Ridge,0.07 : 11.83%,0.080  : 14.37%,0.0054,0.08 : 13.667%, 
2,FSTA,"(903, 240)",LinearSVR,0.06 : 11.51%,0.080  : 14.48%,0.0055,0.08 : 13.803%,0.062 : 11.132%
3, , ,SVR,0.08 : 14.02%,0.080  : 14.44%,0.0058,0.08 : 13.667%, 
4, , ,Lasso,0.06 : 11.15%,0.082  : 14.85%,0.0072,0.08 : 14.151%, 
5, , ,ElasticNet,0.03 : 4.64%,0.079  : 12.70%,0.0223,0.08 : 12.247%, 
6, , ,Ridge,0.05 : 7.59%,0.088  : 14.13%,0.0122,0.10 : 15.534%, 
7,FT,"(140, 105)",LinearSVR,0.04 : 6.42%,0.085  : 13.69%,0.0129,0.09 : 14.646%,0.029 : 4.639%
8, , ,SVR,0.06 : 9.88%,0.065  : 10.50%,0.0114,0.07 : 10.973%, 
9, , ,Lasso,0.03 : 4.65%,0.113  : 18.25%,0.0434,0.08 : 12.398%, 
10, , ,ElasticNet,0.05 : 8.43%,0.059  : 10.41%,0.0052,0.06 : 10.638%, 
11, , ,Ridge,0.05 : 9.19%,0.063  : 11.14%,0.0074,0.06 : 11.226%, 
12,FSEG,"(1549, 286)",LinearSVR,0.05 : 8.85%,0.063  : 11.15%,0.0082,0.06 : 11.270%,0.048 : 8.426%
13, , ,SVR,0.06 : 10.92%,0.063  : 11.10%,0.0060,0.06 : 11.160%, 
14, , ,Lasso,0.05 : 8.46%,0.065  : 11.49%,0.0124,0.07 : 11.993%, 
15, , ,ElasticNet,0.05 : 8.01%,0.067  : 11.41%,0.0069,0.07 : 11.800%, 
16, , ,Ridge,0.06 : 9.34%,0.073  : 12.35%,0.0081,0.07 : 11.782%, 
17,FSDC,"(758, 257)",LinearSVR,0.05 : 8.87%,0.074  : 12.50%,0.0083,0.07 : 11.892%,0.047 : 8.007%
18, , ,SVR,0.07 : 11.92%,0.072  : 12.22%,0.0037,0.07 : 12.353%, 
19, , ,Lasso,0.05 : 8.03%,0.081  : 13.78%,0.0206,0.07 : 11.711%, 
20, , ,ElasticNet,0.05 : 8.34%,0.070  : 12.04%,0.0068,0.08 : 13.020%, 
21, , ,Ridge,0.05 : 9.46%,0.074  : 12.73%,0.0092,0.07 : 12.882%, 
22,FD,"(896, 300)",LinearSVR,0.05 : 8.95%,0.074  : 12.78%,0.0097,0.08 : 13.022%,0.048 : 8.333%
23, , ,SVR,0.07 : 11.54%,0.069  : 11.90%,0.0052,0.07 : 12.251%, 
24, , ,Lasso,0.05 : 8.36%,0.078  : 13.52%,0.0140,0.08 : 12.991%, 
25, , ,ElasticNet,0.04 : 7.80%,0.066  : 11.51%,0.0090,0.07 : 11.362%, 
26, , ,Ridge,0.05 : 8.78%,0.068  : 11.77%,0.0131,0.07 : 12.984%, 
27,FM,"(242, 111)",LinearSVR,0.05 : 8.28%,0.067  : 11.57%,0.0118,0.07 : 12.974%,0.045 : 7.798%
28, , ,SVR,0.07 : 11.62%,0.070  : 12.05%,0.0120,0.07 : 12.493%, 
29, , ,Lasso,0.04 : 7.80%,0.068  : 11.73%,0.0098,0.08 : 14.448%, 
30, , ,ElasticNet,0.04 : 7.49%,0.081  : 13.62%,0.0082,0.06 : 10.747%, 
31, , ,Ridge,0.06 : 9.49%,0.089  : 14.90%,0.0159,0.07 : 11.120%, 
32,FPSE,"(227, 119)",LinearSVR,0.05 : 8.60%,0.088  : 14.73%,0.0137,0.07 : 10.989%,0.045 : 7.488%
33, , ,SVR,0.07 : 12.23%,0.079  : 13.20%,0.0086,0.06 : 10.422%, 
34, , ,Lasso,0.04 : 7.49%,0.087  : 14.56%,0.0213,0.06 : 10.618%, 
